slug,aa_slugs,note,check_score,check_variant
xiaomi/mimo-v2.5-20260422,mimo-v2-5-0424,,25.2,MiMo-V2.5
deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420;deepseek-v4-flash-0420-high;deepseek-v4-flash-0420-non-reasoning,April preview build (AA: 0420),26.0,"DeepSeek V4 Flash 0420 (Reasoning, High Effort)"
deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,0731 build,34.3,"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)"
openai/gpt-5.6-luna-20260709,gpt-5-6-luna;gpt-5-6-luna-xhigh;gpt-5-6-luna-high;gpt-5-6-luna-medium;gpt-5-6-luna-low;gpt-5-6-luna-non-reasoning,,37.3,GPT-5.6 Luna (max)
tencent/hy3-20260706,hy3,,25.3,Hy3
tencent/hy4-preview-20260827,,not in AA data,,
z-ai/glm-5.3-flash-20260826,glm-5-3-flash,,41.8,GLM 5.3 Flash
deepseek/deepseek-v4-pro-20260423,deepseek-v4-pro-0424;deepseek-v4-pro-0424-high;deepseek-v4-pro-0424-non-reasoning,April build,30.4,"DeepSeek V4 Pro 0424 (Reasoning, Max Effort)"
minimax/minimax-m3-20260531,minimax-m3,,29.2,MiniMax-M3
z-ai/glm-5.2-20260616,glm-5-2;glm-5-2-non-reasoning,,33.7,GLM-5.2 (max)
anthropic/claude-4.6-sonnet-20260217,claude-sonnet-4-6-adaptive;claude-sonnet-4-6;claude-sonnet-4-6-non-reasoning-low-effort,,30.1,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)"
google/gemini-3-flash-preview-20251217,gemini-3-flash-reasoning;gemini-3-flash,,26.3,Gemini 3 Flash Preview (Reasoning)
deepseek/deepseek-v3.2-20251201,deepseek-v3-2-reasoning;deepseek-v3-2,not the Sept Exp or Speciale,21.5,DeepSeek V3.2 (Reasoning)
google/gemini-2.5-flash,gemini-2-5-flash-reasoning;gemini-2-5-flash,"GA version, not previews",13.1,Gemini 2.5 Flash (Reasoning)
anthropic/claude-4.7-opus-20260416,claude-opus-4-7;claude-opus-4-7-non-reasoning,,40.7,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)"
tencent/hy3-preview-20260421,hy3-preview;hy3-non-reasoning,AA 'hy3-non-reasoning' is named Hy3-preview (Non-reasoning),22.7,Hy3-preview (Reasoning)
google/gemini-2.5-flash-lite,gemini-2-5-flash-lite-reasoning;gemini-2-5-flash-lite,"GA version, not Sep preview",8.5,Gemini 2.5 Flash-Lite (Reasoning)
deepseek/deepseek-v4.1-flash-20260910,deepseek-v4-1-flash,,39.5,"DeepSeek V4.1 Flash (Reasoning, Max Effort)"
x-ai/grok-code-fast-1,grok-code-fast-1,,14.1,Grok Code Fast 1
anthropic/claude-4.8-opus-20260528,claude-opus-4-8,,41.8,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)"
anthropic/claude-4.5-sonnet-20250929,claude-4-5-sonnet-thinking;claude-4-5-sonnet,,20.7,Claude 4.5 Sonnet (Reasoning)
stepfun/step-3.7-flash-20260528,step-3-7-flash,,19.5,Step 3.7 Flash
anthropic/claude-4.6-opus-20260205,claude-opus-4-6-adaptive;claude-opus-4-6,,31.9,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)"
openai/gpt-4o-mini,gpt-4o-mini,,6.7,GPT-4o mini
moonshotai/kimi-k3-20260715,kimi-k3;kimi-k3-low,,43.6,Kimi K3 (max)
google/gemini-2.0-flash-001,gemini-2-0-flash,Feb '25 GA,8.9,Gemini 2.0 Flash (Feb '25)
anthropic/claude-opus-5-20260723,claude-opus-5;claude-opus-5-xhigh;claude-opus-5-high;claude-opus-5-medium;claude-opus-5-low,,50.8,"Claude Opus 5 (Adaptive Reasoning, Max Effort)"
anthropic/claude-sonnet-5-20260630,claude-sonnet-5;claude-sonnet-5-xhigh;claude-sonnet-5-high;claude-sonnet-5-medium;claude-sonnet-5-low;claude-sonnet-5-non-reasoning,,38.2,"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)"
openai/gpt-5.6-sol-20260709,gpt-5-6-sol;gpt-5-6-sol-xhigh;gpt-5-6-sol-high;gpt-5-6-sol-medium;gpt-5-6-sol-low;gpt-5-6-sol-non-reasoning,,47.0,GPT-5.6 Sol (max)
moonshotai/kimi-k2.5-0127,kimi-k2-5;kimi-k2-5-non-reasoning,,23.5,Kimi K2.5 (Reasoning)
minimax/minimax-m2.7-20260318,minimax-m2-7,,22.8,MiniMax-M2.7
xiaomi/mimo-v2-pro-20260318,mimo-v2-pro,,28.6,MiMo-V2-Pro
z-ai/glm-5.3-20260816,glm-5-3,not the Flash model,44.8,GLM-5.3 (max)
x-ai/grok-4.1-fast,grok-4-1-fast-reasoning;grok-4-1-fast,,20.4,Grok 4.1 Fast (Reasoning)
anthropic/claude-4-sonnet-20250522,claude-4-sonnet-thinking;claude-4-sonnet,,18.9,Claude 4 Sonnet (Reasoning)
google/gemini-3.7-flash-20260813,gemini-3-7-flash;gemini-3-7-flash-medium;gemini-3-7-flash-low,,39.6,Gemini 3.7 Flash (medium)
xiaomi/mimo-v2.5-pro-20260422,mimo-v2-5-pro;mimo-v2-5-pro-non-reasoning,,26.0,MiMo-V2.5-Pro
moonshotai/kimi-k2.6-20260420,kimi-k2-6;kimi-k2-6-non-reasoning,,27.0,Kimi K2.6
openai/gpt-5.5-20260423,gpt-5-5;gpt-5-5-high;gpt-5-5-medium;gpt-5-5-low;gpt-5-5-non-reasoning,not Instant or Pro,38.4,GPT-5.5 (xhigh)
anthropic/claude-4.5-haiku-20251001,claude-4-5-haiku-reasoning;claude-4-5-haiku,,16.9,Claude 4.5 Haiku (Reasoning)
google/gemini-3.1-flash-lite-20260507,gemini-3-1-flash-lite-preview,AA has one Gemini 3.1 Flash-Lite entry for preview and GA,15.6,Gemini 3.1 Flash-Lite
openai/gpt-5.4-20260305,gpt-5-4;gpt-5-4-low;gpt-5-4-non-reasoning,not mini or nano,39.0,GPT-5.4 (xhigh)
google/gemini-3.1-pro-preview-20260219,gemini-3-1-pro-preview,,29.7,Gemini 3.1 Pro Preview
minimax/minimax-m2.5-20260211,minimax-m2-5,,22.8,MiniMax-M2.5
google/gemini-3.6-flash-20260721,gemini-3-6-flash,,34.0,Gemini 3.6 Flash (high)
upstage/solar-pro4-20260810,solar-pro4,,28.2,Solar Pro 4
google/gemini-2.5-pro,gemini-2-5-pro,"GA version, not previews",16.1,Gemini 2.5 Pro
deepseek/deepseek-v4-pro-20260813,deepseek-v4-pro,0813 build,36.0,"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)"
z-ai/glm-5-20260211,glm-5;glm-5-non-reasoning,not Turbo,27.9,GLM-5 (Reasoning)
google/gemini-3.8-flash-20260902,gemini-3-8-flash;gemini-3-8-flash-medium;gemini-3-8-flash-low,,40.9,Gemini 3.8 Flash (high)
openai/gpt-5-mini-2025-08-07,gpt-5-mini;gpt-5-mini-medium;gpt-5-mini-minimal,,20.6,GPT-5 mini (medium)
mistralai/mistral-nemo,,not in AA data,,
openai/gpt-oss-120b,gpt-oss-120b;gpt-oss-120b-low,,11.6,gpt-oss-120b (high)
openai/gpt-5.6-terra-20260709,gpt-5-6-terra;gpt-5-6-terra-xhigh;gpt-5-6-terra-high;gpt-5-6-terra-medium;gpt-5-6-terra-low;gpt-5-6-terra-non-reasoning,,42.1,GPT-5.6 Terra (max)
z-ai/glm-5.1-20260406,glm-5-1;glm-5-1-non-reasoning,,26.1,GLM-5.1 (Reasoning)
meta/muse-spark-1.3-contributor-20260902,muse-spark-1-3;muse-spark-1-3-xhigh,UNCERTAIN: OpenRouter 'contributor' variant not in AA; mapped to Muse Spark 1.3,48.1,Muse Spark 1.3 (max)
google/gemini-3.5-flash-20260519,gemini-3-5-flash;gemini-3-5-flash-medium;gemini-3-5-flash-minimal,not Flash-Lite,33.6,Gemini 3.5 Flash (medium)
google/gemini-3.1-flash-lite-preview-20260303,gemini-3-1-flash-lite-preview,,15.6,Gemini 3.1 Flash-Lite
x-ai/grok-4-fast,grok-4-fast-reasoning;grok-4-fast,,17.9,Grok 4 Fast (Reasoning)
anthropic/claude-4.5-opus-20251124,claude-opus-4-5-thinking;claude-opus-4-5,,29.1,Claude Opus 4.5 (Reasoning)
anthropic/claude-3.5-sonnet,claude-35-sonnet,Oct '24 version,7.9,Claude 3.5 Sonnet (Oct '24)
anthropic/claude-3-7-sonnet-20250219,claude-3-7-sonnet-thinking;claude-3-7-sonnet,,17.7,Claude 3.7 Sonnet (Reasoning)
google/gemini-2.5-flash-preview-04-17,gemini-2-5-flash-reasoning-04-2025;gemini-2-5-flash-04-2025,,11.7,Gemini 2.5 Flash Preview (Reasoning)
google/gemini-2.5-pro-preview-03-25,gemini-2-5-pro-03-25,,15.0,Gemini 2.5 Pro Preview (Mar' 25)
deepseek/deepseek-chat-v3-0324,deepseek-v3-0324,,9.7,DeepSeek V3 0324
google/gemini-2.5-flash-preview-05-20,gemini-2-5-flash-reasoning;gemini-2-5-flash,AA has one entry (May 2025) for this preview and the GA model,13.1,Gemini 2.5 Flash (Reasoning)
google/gemini-flash-1.5,gemini-1-5-flash,,7.1,Gemini 1.5 Flash (Sep '24)
google/gemini-flash-1.5-8b,gemini-1-5-flash-8b,,6.2,Gemini 1.5 Flash-8B
meta-llama/llama-3.3-70b-instruct,llama-3-3-instruct-70b,,7.7,Llama 3.3 Instruct 70B
google/gemini-2.0-flash-lite-001,gemini-2-0-flash-lite-001,,7.4,Gemini 2.0 Flash-Lite (Feb '25)
openai/gpt-4.1-mini-2025-04-14,gpt-4-1-mini,,10.2,GPT-4.1 mini
qwen/qwen3-coder-480b-a35b-07-25,qwen3-coder-480b-a35b-instruct,,11.9,Qwen3 Coder 480B A35B Instruct
z-ai/glm-4.6,glm-4-6-reasoning;glm-4-6,,18.5,GLM-4.6 (Reasoning)
minimax/minimax-m2,minimax-m2,,18.6,MiniMax-M2
deepseek/deepseek-chat-v3,deepseek-v3,Dec '24 version,8.5,DeepSeek V3 (Dec '24)
openai/gpt-4.1-2025-04-14,gpt-4-1,,12.7,GPT-4.1
openai/gpt-5-2025-08-07,gpt-5;gpt-5-medium;gpt-5-minimal,,23.0,GPT-5 (high)
z-ai/glm-5-turbo-20260315,glm-5-turbo,,26.6,GLM-5-Turbo
deepseek/deepseek-chat-v3.1,deepseek-v3-1-reasoning;deepseek-v3-1,,13.7,DeepSeek V3.1 (Non-reasoning)
openai/gpt-5-nano-2025-08-07,gpt-5-nano;gpt-5-nano-medium;gpt-5-nano-minimal,,13.0,GPT-5 nano (high)
google/gemini-3-pro-preview-20251117,gemini-3-pro;gemini-3-pro-low,,28.0,Gemini 3 Pro Preview (high)
minimax/minimax-m2.1,minimax-m2-1,,20.9,MiniMax-M2.1
qwen/qwen3-30b-a3b-04-28,qwen3-30b-a3b-instruct-reasoning;qwen3-30b-a3b-instruct,,7.6,Qwen3 30B A3B (Reasoning)
qwen/qwen3-235b-a22b-07-25,qwen3-235b-a22b-instruct-2507-reasoning;qwen3-235b-a22b-instruct-2507,,12.7,Qwen3 235B A22B 2507 (Reasoning)
google/gemini-2.5-flash-preview-09-2025,gemini-2-5-flash-preview-09-2025-reasoning;gemini-2-5-flash-preview-09-2025,,15.5,Gemini 2.5 Flash Preview (Sep '25) (Reasoning)
z-ai/glm-4.5,glm-4.5;glm-4-5-air,"AA slug keeps the dot; Air is a smaller sibling, remove it if you prefer",12.8,GLM-4.5 (Reasoning)
google/gemini-2.5-flash-lite-preview-09-2025,gemini-2-5-flash-lite-preview-09-2025-reasoning;gemini-2-5-flash-lite-preview-09-2025,,10.4,Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning)
moonshotai/kimi-k2,kimi-k2,July 2025 version,12.7,Kimi K2
stepfun/step-3.5-flash,step-3-5-flash-0202,Feb 2026 release; AA also has a 2603 build,16.6,Step 3.5 Flash
google/gemini-2.5-pro-exp-03-25,gemini-2-5-pro-03-25,same March build as the preview,15.0,Gemini 2.5 Pro Preview (Mar' 25)
meta-llama/llama-3.1-70b-instruct,,not in AA data,,
google/gemini-2.5-flash-lite-preview-06-17,gemini-2-5-flash-lite-reasoning;gemini-2-5-flash-lite,,8.5,Gemini 2.5 Flash-Lite (Reasoning)
z-ai/glm-4.7-20251222,glm-4-7;glm-4-7-non-reasoning,,22.2,GLM-4.7 (Reasoning)
anthropic/claude-3-5-haiku,claude-3-5-haiku,,8.9,Claude 3.5 Haiku
openai/gpt-oss-20b,gpt-oss-20b;gpt-oss-20b-low,,10.0,gpt-oss-20b (low)
openai/gpt-5.2-20251211,gpt-5-2;gpt-5-2-medium;gpt-5-2-non-reasoning,not the Codex model,30.4,GPT-5.2 (xhigh)
deepseek/deepseek-r1,deepseek-r1-0120,"CAREFUL: AA slug 'deepseek-r1' is the May 0528 build, not this one",11.4,DeepSeek R1 (Jan '25)
x-ai/grok-4-07-09,grok-4,,22.5,Grok 4
gryphe/mythomax-l2-13b,,not in AA data,,
google/gemini-2.5-pro-preview-06-05,gemini-2-5-pro,AA entry dated 2025-06-05,16.1,Gemini 2.5 Pro
xiaomi/mimo-v2-flash-20251210,mimo-v2-flash-reasoning;mimo-v2-flash,,20.8,MiMo-V2-Flash (Reasoning)
mistralai/mistral-7b-instruct,mistral-7b-instruct,,5.0,Mistral 7B Instruct
deepseek/deepseek-v3.2-exp,deepseek-v3-2-reasoning-0925;deepseek-v3-2-0925,,16.6,DeepSeek V3.2 Exp (Reasoning)
microsoft/wizardlm-2-8x22b,,not in AA data,,
meta-llama/llama-4-maverick-17b-128e-instruct,llama-4-maverick,,10.0,Llama 4 Maverick
meta-llama/llama-3.1-8b-instruct,,not in AA data,,
google/gemma-3-12b-it,gemma-3-12b,,3.8,Gemma 3 12B Instruct
nousresearch/hermes-3-llama-3.1-405b,,not in AA data (AA has the 70B version only),,
google/gemma-4-26b-a4b-it-20260403,gemma-4-26b-a4b;gemma-4-26b-a4b-non-reasoning,,16.7,Gemma 4 26B A4B (Reasoning)
google/gemma-4-31b-it-20260402,gemma-4-31b;gemma-4-31b-non-reasoning,,19.0,Gemma 4 31B (Reasoning)
meta-llama/llama-3.2-1b-instruct,llama-3-2-instruct-1b,,4.8,Llama 3.2 Instruct 1B
xiaomi/mimo-v2-omni-20260318,mimo-v2-omni,AA also has an 0327 build,23.9,MiMo-V2-Omni
qwen/qwen3.6-plus-04-02,qwen3-6-plus,,27.0,Qwen3.6 Plus
deepseek/deepseek-r1-0528,deepseek-r1,AA name: DeepSeek R1 0528,13.1,DeepSeek R1 0528 (May '25)
openai/gpt-5.4-mini-20260317,gpt-5-4-mini;gpt-5-4-mini-medium;gpt-5-4-mini-non-reasoning,,24.1,GPT-5.4 mini (xhigh)
anthropic/claude-3.5-sonnet-20240620,claude-35-sonnet-june-24,,7.2,Claude 3.5 Sonnet (June '24)
deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,,7.9,DeepSeek R1 Distill Llama 70B
qwen/qwen3-vl-235b-a22b-instruct,qwen3-vl-235b-a22b-instruct,"instruct build, not the reasoning build",9.9,Qwen3 VL 235B A22B Instruct
google/gemma-3-27b-it,gemma-3-27b,,4.9,Gemma 3 27B Instruct
openai/gpt-5.3-codex-20260224,gpt-5-3-codex,,32.5,GPT-5.3 Codex (xhigh)
anthropic/claude-4.1-opus-20250805,claude-4-1-opus-thinking;claude-4-1-opus,,22.8,Claude 4.1 Opus (Reasoning)
