slug,label_auto,label,open_from,revealed_as,note
anthropic/claude-3.5-sonnet,closed,closed,,,"Anthropic proprietary, API only [from knowledge]"
anthropic/claude-3-7-sonnet-20250219,closed,closed,,,"Anthropic proprietary, API only [from knowledge]"
google/gemini-2.0-flash-001,closed,closed,,,"Google proprietary, API only [from knowledge]"
deepseek/deepseek-r1,open,open,,,"HF deepseek-ai/DeepSeek-R1, MIT [from knowledge]"
google/gemini-flash-1.5,closed,closed,,,Google proprietary [from knowledge]
google/gemini-flash-1.5-8b,closed,closed,,,Google proprietary [from knowledge]
meta-llama/llama-3.3-70b-instruct,open,open,,,"HF meta-llama/Llama-3.3-70B-Instruct, Llama 3.3 license [from knowledge]"
openai/gpt-4o-mini,closed,closed,,,OpenAI proprietary [from knowledge]
deepseek/deepseek-chat-v3,open,open,,,HF deepseek-ai/DeepSeek-V3 [from knowledge]
mistralai/mistral-nemo,open,open,,,"HF mistralai/Mistral-Nemo-Instruct-2407, Apache 2.0 [from knowledge]"
deepseek/deepseek-chat-v3-0324,open,open,,,"HF deepseek-ai/DeepSeek-V3-0324, MIT [from knowledge]"
anthropic/claude-4-sonnet-20250522,closed,closed,,,Anthropic proprietary [from knowledge]
google/gemini-2.5-flash-preview-04-17,closed,closed,,,Google proprietary [from knowledge]
google/gemini-2.5-pro-preview-03-25,closed,closed,,,Google proprietary [from knowledge]
google/gemini-2.5-flash-preview-05-20,closed,closed,,,Google proprietary [from knowledge]
google/gemini-2.5-pro-exp-03-25,closed,closed,,,Google proprietary [from knowledge]
x-ai/grok-code-fast-1,closed,closed,,,"xAI proprietary, API only [from knowledge]"
google/gemini-2.5-flash,closed,closed,,,Google proprietary [from knowledge]
google/gemini-2.5-pro,closed,closed,,,Google proprietary [from knowledge]
x-ai/grok-4-fast,closed,closed,,,"xAI proprietary, API only [from knowledge]"
qwen/qwen3-coder-480b-a35b-07-25,open,open,,,"HF Qwen/Qwen3-Coder-480B-A35B-Instruct, Apache 2.0 [from knowledge]"
deepseek/deepseek-chat-v3.1,open,open,,,"HF deepseek-ai/DeepSeek-V3.1, MIT [from knowledge]"
anthropic/claude-4.5-sonnet-20250929,closed,closed,,,Anthropic proprietary [from knowledge]
x-ai/grok-4.1-fast,closed,closed,,,"xAI proprietary, API only [from knowledge]"
minimax/minimax-m2,open,open,,,HF MiniMaxAI/MiniMax-M2 (Oct 2025) [from knowledge]
