slug,quality,aa_variant,aa_slugs,note
xiaomi/mimo-v2.5-20260422,25.2,MiMo-V2.5,mimo-v2-5-0424,
deepseek/deepseek-v4-flash-20260423,26.0,"DeepSeek V4 Flash 0420 (Reasoning, High Effort)",deepseek-v4-flash-0420;deepseek-v4-flash-0420-high;deepseek-v4-flash-0420-non-reasoning,April preview build (AA: 0420)
deepseek/deepseek-v4-flash-20260731,34.3,"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",deepseek-v4-flash,0731 build
openai/gpt-5.6-luna-20260709,37.3,GPT-5.6 Luna (max),gpt-5-6-luna;gpt-5-6-luna-xhigh;gpt-5-6-luna-high;gpt-5-6-luna-medium;gpt-5-6-luna-low;gpt-5-6-luna-non-reasoning,
tencent/hy3-20260706,25.3,Hy3,hy3,
tencent/hy4-preview-20260827,,,,not in AA data
z-ai/glm-5.3-flash-20260826,41.8,GLM 5.3 Flash,glm-5-3-flash,
deepseek/deepseek-v4-pro-20260423,30.4,"DeepSeek V4 Pro 0424 (Reasoning, Max Effort)",deepseek-v4-pro-0424;deepseek-v4-pro-0424-high;deepseek-v4-pro-0424-non-reasoning,April build
minimax/minimax-m3-20260531,29.2,MiniMax-M3,minimax-m3,
z-ai/glm-5.2-20260616,33.7,GLM-5.2 (max),glm-5-2;glm-5-2-non-reasoning,
anthropic/claude-4.6-sonnet-20260217,30.1,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",claude-sonnet-4-6-adaptive;claude-sonnet-4-6;claude-sonnet-4-6-non-reasoning-low-effort,
google/gemini-3-flash-preview-20251217,26.3,Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning;gemini-3-flash,
deepseek/deepseek-v3.2-20251201,21.5,DeepSeek V3.2 (Reasoning),deepseek-v3-2-reasoning;deepseek-v3-2,not the Sept Exp or Speciale
google/gemini-2.5-flash,13.1,Gemini 2.5 Flash (Reasoning),gemini-2-5-flash-reasoning;gemini-2-5-flash,"GA version, not previews"
anthropic/claude-4.7-opus-20260416,40.7,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",claude-opus-4-7;claude-opus-4-7-non-reasoning,
tencent/hy3-preview-20260421,22.7,Hy3-preview (Reasoning),hy3-preview;hy3-non-reasoning,AA 'hy3-non-reasoning' is named Hy3-preview (Non-reasoning)
google/gemini-2.5-flash-lite,8.5,Gemini 2.5 Flash-Lite (Reasoning),gemini-2-5-flash-lite-reasoning;gemini-2-5-flash-lite,"GA version, not Sep preview"
deepseek/deepseek-v4.1-flash-20260910,39.5,"DeepSeek V4.1 Flash (Reasoning, Max Effort)",deepseek-v4-1-flash,
x-ai/grok-code-fast-1,14.1,Grok Code Fast 1,grok-code-fast-1,
anthropic/claude-4.8-opus-20260528,41.8,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",claude-opus-4-8,
anthropic/claude-4.5-sonnet-20250929,20.7,Claude 4.5 Sonnet (Reasoning),claude-4-5-sonnet-thinking;claude-4-5-sonnet,
stepfun/step-3.7-flash-20260528,19.5,Step 3.7 Flash,step-3-7-flash,
anthropic/claude-4.6-opus-20260205,31.9,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",claude-opus-4-6-adaptive;claude-opus-4-6,
openai/gpt-4o-mini,6.7,GPT-4o mini,gpt-4o-mini,
moonshotai/kimi-k3-20260715,43.6,Kimi K3 (max),kimi-k3;kimi-k3-low,
google/gemini-2.0-flash-001,8.9,Gemini 2.0 Flash (Feb '25),gemini-2-0-flash,Feb '25 GA
anthropic/claude-opus-5-20260723,50.8,"Claude Opus 5 (Adaptive Reasoning, Max Effort)",claude-opus-5;claude-opus-5-xhigh;claude-opus-5-high;claude-opus-5-medium;claude-opus-5-low,
anthropic/claude-sonnet-5-20260630,38.2,"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",claude-sonnet-5;claude-sonnet-5-xhigh;claude-sonnet-5-high;claude-sonnet-5-medium;claude-sonnet-5-low;claude-sonnet-5-non-reasoning,
openai/gpt-5.6-sol-20260709,47.0,GPT-5.6 Sol (max),gpt-5-6-sol;gpt-5-6-sol-xhigh;gpt-5-6-sol-high;gpt-5-6-sol-medium;gpt-5-6-sol-low;gpt-5-6-sol-non-reasoning,
moonshotai/kimi-k2.5-0127,23.5,Kimi K2.5 (Reasoning),kimi-k2-5;kimi-k2-5-non-reasoning,
minimax/minimax-m2.7-20260318,22.8,MiniMax-M2.7,minimax-m2-7,
xiaomi/mimo-v2-pro-20260318,28.6,MiMo-V2-Pro,mimo-v2-pro,
z-ai/glm-5.3-20260816,44.8,GLM-5.3 (max),glm-5-3,not the Flash model
x-ai/grok-4.1-fast,20.4,Grok 4.1 Fast (Reasoning),grok-4-1-fast-reasoning;grok-4-1-fast,
anthropic/claude-4-sonnet-20250522,18.9,Claude 4 Sonnet (Reasoning),claude-4-sonnet-thinking;claude-4-sonnet,
google/gemini-3.7-flash-20260813,39.6,Gemini 3.7 Flash (medium),gemini-3-7-flash;gemini-3-7-flash-medium;gemini-3-7-flash-low,
xiaomi/mimo-v2.5-pro-20260422,26.0,MiMo-V2.5-Pro,mimo-v2-5-pro;mimo-v2-5-pro-non-reasoning,
moonshotai/kimi-k2.6-20260420,27.0,Kimi K2.6,kimi-k2-6;kimi-k2-6-non-reasoning,
openai/gpt-5.5-20260423,38.4,GPT-5.5 (xhigh),gpt-5-5;gpt-5-5-high;gpt-5-5-medium;gpt-5-5-low;gpt-5-5-non-reasoning,not Instant or Pro
anthropic/claude-4.5-haiku-20251001,16.9,Claude 4.5 Haiku (Reasoning),claude-4-5-haiku-reasoning;claude-4-5-haiku,
google/gemini-3.1-flash-lite-20260507,15.6,Gemini 3.1 Flash-Lite,gemini-3-1-flash-lite-preview,AA has one Gemini 3.1 Flash-Lite entry for preview and GA
